Persiapan lahan Tebas (HOK),Persiapan lahan Tumbang (HOK),Persiapan lahan Bakar (HOK),Persiapan lahan Pancang (HOK),Penanaman Padi Tugal dan tanam padi (HOK),Padi Penyiangan (HOK),Padi Bird + pig waching (HOK),Padi Panen (HOK),Padi Perontokan + Pengeringan (HOK),Penanaman Karet: Pembuatan lubang +tanam+ pagar (HOK),Penanaman Karet: Tanam (HOK),Karet Penyiangan (HOK),Karet Pruning (HOK),Karet Penyadapan (HOK)
15,4,1,2,10,6,15,20,2,29,11,21,1,0
,,,,,,,,,,2,21,6,0
,,,,,,,,,,,21,3,0
,,,,,,,,,,,21,,0
,,,,,,,,,,,21,,0
,,,,,,,,,,,21,,0
,,,,,,,,,,,21,,0
,,,,,,,,,,,21,,10
,,,,,,,,,,,14,,88.31054953
,,,,,,,,,,,14,,92.47686107
,,,,,,,,,,,14,,100.5675373
,,,,,,,,,,,14,,102.4513491
,,,,,,,,,,,14,,103.7296559
,,,,,,,,,,,14,,102.2177051
,,,,,,,,,,,14,,100.6453109
,,,,,,,,,,,14,,99.36053325
,,,,,,,,,,,14,,97.97457148
,,,,,,,,,,,14,,94.29946066
,,,,,,,,,,,14,,90.60205677
,,,,,,,,,,,14,,88.27892711
,,,,,,,,,,,14,,85.62495048
,,,,,,,,,,,14,,82.98372469
,,,,,,,,,,,14,,80.02763577
,,,,,,,,,,,14,,77.41756286
,,,,,,,,,,,14,,71.92191756
,,,,,,,,,,,14,,66.5040309
,,,,,,,,,,,14,,61.47526061
,,,,,,,,,,,14,,56.51572596
,,,,,,,,,,,14,,51.35363606
,,,,,,,,,,,14,,46.55918379
