Urea (kg/ha),SP (kg/ha),Round Up (liter/ha),Formic acid (botol),Padi/Gabah (Kg),Karet (batang),Pisau sadap (unit),Mangkok penampung (latex cup) (unit),Ember karet (pair),Cangkul (unit),Parang (unit),Bak penampung (unit)
50,50,0,,70,550,,,,1,1,
,,,,,55,,,,,,
,,,,,,,,,,1,
,,,,,,,,,,,
,,,,,,,,,,1,
,,,,,,,,,1,,
,,,,,,,,,,1,
,,,,,,,,,,,
,,,16.48463591,,,2,200,2,,1,1
,,,17.2623474,,,2,350,,,,1
,,,18.77260696,,,2,427,2,1,1,1
,,,19.12425183,,,2,427,,,,1
,,,19.36286909,,,2,427,2,,1,1
,,,19.08063828,,,2,446.5,,,,1
,,,18.78712471,,,2,437,2,,1,1
,,,18.54729954,,,2,427,,1,,1
,,,18.28858668,,,2,418,2,,1,1
,,,17.60256599,,,2,408,,,,1
,,,16.91238393,,,2,399,2,,1,1
,,,16.47873306,,,2,389,,,,1
,,,15.98332409,,,2,380,2,1,1,1
,,,15.49029528,,,2,370,,,,1
,,,14.93849201,,,2,361,2,,1,1
,,,14.4512784,,,2,351,,,,1
,,,13.42542461,,,2,342,2,,1,1
,,,12.41408577,,,2,332,,1,,1
,,,11.47538198,,,2,323,2,,1,1
,,,10.54960218,,,2,304,,,,1
,,,9.586012064,,,2,285,2,,1,1
,,,8.69104764,,,2,266,,,,1
